Cycle,Battery-M,M8020-train,M8020-valid,M8020-predict,M5050-train,M5050-valid,M5050-predict,M2080-train,M2080-valid,M2080-predict
218,36.7085,36.7085,,,36.7085,,,36.7085,,
219,36.7435,36.7435,,,36.7435,,,36.7435,,
220,36.7708,36.7708,,,36.7708,,,36.7708,,
221,36.7959,36.7959,,,36.7959,,,36.7959,,
222,36.8106,36.8106,,,36.8106,,,36.8106,,
223,36.8924,36.8924,,,36.8924,,,36.8924,,
224,36.9186,36.9186,,,36.9186,,,36.9186,,
225,36.9283,36.9283,,,36.9283,,,36.9283,,
226,36.8388,36.8388,,,36.8388,,,36.8388,,
227,36.7788,36.7788,,,36.7788,,,36.7788,,
228,36.8374,36.8374,,,36.8374,,,36.8374,,
229,36.8833,36.8833,,,36.8833,,,36.8833,,
230,36.9082,36.9082,,,36.9082,,,36.9082,,
231,36.9171,36.9171,,,36.9171,,,36.9171,,
232,36.9255,36.9255,,,36.9255,,,,36.9255,36.794884
233,36.9462,36.9462,,,36.9462,,,,36.9462,36.803585
234,36.9668,36.9668,,,36.9668,,,,36.9668,36.812702
235,36.9847,36.9847,,,36.9847,,,,36.9847,36.822395
236,37.0269,37.0269,,,37.0269,,,,37.0269,36.832596
237,37.0179,37.0179,,,37.0179,,,,37.0179,36.844303
238,37.017,37.017,,,37.017,,,,37.017,36.85574
239,37.009,37.009,,,37.009,,,,37.009,36.86623
240,37.0207,37.0207,,,37.0207,,,,37.0207,36.875126
241,36.986,36.986,,,36.986,,,,36.986,36.883003
242,36.9391,36.9391,,,36.9391,,,,36.9391,36.888245
243,36.9148,36.9148,,,36.9148,,,,36.9148,36.889534
244,36.9012,36.9012,,,36.9012,,,,36.9012,36.88735
245,36.9287,36.9287,,,36.9287,,,,36.9287,36.882687
246,36.9572,36.9572,,,36.9572,,,,36.9572,36.878105
247,36.9831,36.9831,,,36.9831,,,,36.9831,36.875168
248,37.0341,37.0341,,,37.0341,,,,37.0341,36.87457
249,37.0301,37.0301,,,37.0301,,,,37.0301,36.877666
250,36.9893,36.9893,,,36.9893,,,,36.9893,36.882576
251,36.9697,36.9697,,,36.9697,,,,36.9697,36.886436
252,36.9935,36.9935,,,36.9935,,,,36.9935,36.88855
253,37.0642,37.0642,,,37.0642,,,,37.0642,36.890522
254,37.0601,37.0601,,,37.0601,,,,37.0601,36.89539
255,37.0177,37.0177,,,37.0177,,,,37.0177,36.901455
256,37.0153,37.0153,,,37.0153,,,,37.0153,36.90596
257,37.0782,37.0782,,,37.0782,,,,37.0782,36.909145
258,37.0305,37.0305,,,37.0305,,,,37.0305,36.91411
259,37.0379,37.0379,,,37.0379,,,,37.0379,36.91767
260,36.9654,36.9654,,,36.9654,,,,36.9654,36.920513
261,36.9765,36.9765,,,36.9765,,,,36.9765,36.919548
262,36.9122,36.9122,,,36.9122,,,,36.9122,36.9169
263,36.8828,36.8828,,,36.8828,,,,36.8828,36.910595
264,36.9246,36.9246,,,36.9246,,,,36.9246,36.901283
265,36.9616,36.9616,,,36.9616,,,,36.9616,36.892673
266,37.0124,37.0124,,,37.0124,,,,37.0124,36.886684
267,37.0393,37.0393,,,37.0393,,,,37.0393,36.884914
268,37.071,37.071,,,37.071,,,,37.071,36.88695
269,37.0873,37.0873,,,37.0873,,,,37.0873,36.892506
270,37.0838,37.0838,,,37.0838,,,,37.0838,36.900475
271,37.0975,37.0975,,,37.0975,,,,37.0975,36.909164
272,37.0998,37.0998,,,37.0998,,,,37.0998,36.918278
273,37.0711,37.0711,,,37.0711,,,,37.0711,36.927105
274,37.0855,37.0855,,,37.0855,,,,37.0855,36.933887
275,37.0821,37.0821,,,37.0821,,,,37.0821,36.939644
276,37.1574,37.1574,,,37.1574,,,,37.1574,36.94425
277,37.0539,37.0539,,,37.0539,,,,37.0539,36.95119
278,37.0551,37.0551,,,37.0551,,,,37.0551,36.95448
279,37.0426,37.0426,,,37.0426,,,,37.0426,36.95549
280,37.0672,37.0672,,,37.0672,,,,37.0672,36.954536
